category,task_name,best_speedup,correctness_pass,compile_pass,num_runs,base_ms,best_opt_ms,best_run_source
gemm,hip2hip/hip2hip-extracted-v2/hip_skinny_gemm,53.5195,True,True,11,0.774495,0.013320,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260509_031259/hip2hip_hip2hip-extracted-v2_hip_skinny_gemm_20260509_031259/task_result.yaml
moe/routing,hip2hip/hip_kernel_extend_full/puyuan_lv12/level1/moe_align_block_size_kernels,5.9563,True,True,3,0.080652,0.013220,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv12_level1_moe_align_block_size_kernels_20260602_160859/task_result.yaml
attention,hip2hip/hip2hip-extracted-v2/hip_paged_attention_decode,4.6005,True,True,11,0.634599,0.134814,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260509_030651/hip2hip_hip2hip-extracted-v2_hip_paged_attention_decode_20260509_030651/task_result.yaml
moe/routing,hip2hip/hip2hip-extracted-v2/hip_grouped_topk,4.3824,True,True,11,0.073951,0.016601,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260509_030651/hip2hip_hip2hip-extracted-v2_hip_grouped_topk_20260509_030651/task_result.yaml
attention,campaign20/baseline/paged_attention_decode,3.3965,True,True,15,0.096157,0.034423,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0620_MI300_geak_v3/run_20260620_174937/reeval/campaign20_baseline_paged_attention_decode_20260620_174937/task_result.yaml
moe/routing,hip2hip/hip2hip-extracted-v2/hip_topk_softmax,3.3339,True,True,11,0.038628,0.011533,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260509_030651/hip2hip_hip2hip-extracted-v2_hip_topk_softmax_20260509_030651/task_result.yaml
activation,hip2hip/vllm-v2-cursor/hip_silu_and_mul,1.9498,True,True,7,0.013640,0.009499,AgentKernelArena/old_results/workspace_gpt54_hip2hip_vllm_v2_cursor_MI300_geak_v3/run_20260512_031134/hip2hip_vllm-v2-cursor_hip_silu_and_mul_20260512_031134/task_result.yaml
attention,hip2hip/vllm-v2-cursor/hip_paged_attention_decode,1.6039,True,True,7,0.008315,0.005184,AgentKernelArena/old_results/workspace_gpt54_hip2hip_vllm_v2_cursor_MI300_geak_v3/run_20260512_031134/hip2hip_vllm-v2-cursor_hip_paged_attention_decode_20260512_031134/task_result.yaml
attention,hip2hip/hip2hip-extracted-v2-L2/paged_attention_decode,1.3528,True,True,10,0.019222,0.014256,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted-v2-L2_MI300_geak_v3/run_20260511_142642/hip2hip_hip2hip-extracted-v2-L2_paged_attention_decode_20260511_142642/task_result.yaml
gemm,campaign20/baseline/_gemm_a8w8_blockscale_kernel,1.3019,True,True,3,2.765401,2.229818,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0621_rerun_MI300_geak_v3/run_20260621_041627/campaign20_baseline__gemm_a8w8_blockscale_kernel_20260621_041627/task_result.yaml
attention,hip2hip/hip_kernel_extend_full/chushi/paged_attention_ragged,1.2933,True,True,15,0.308809,0.264415,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_chushi_paged_attention_ragged_20260602_160859/task_result.yaml
pos-embedding,hip2hip/hip2hip-extracted-v2/hip_rotary_embedding,1.2386,True,True,11,0.009321,0.007851,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260509_031259/hip2hip_hip2hip-extracted-v2_hip_rotary_embedding_20260509_031259/task_result.yaml
moe/routing,hip2hip/hip2hip_extraction_0519/03_moe_sum,1.2330,True,True,6,0.074826,0.070358,AgentKernelArena/old_results/workspace_claude_opus_4.6_hip2hip_extraction_0519_MI300_geak_v3/run_20260519_160143/hip2hip_hip2hip_extraction_0519_03_moe_sum_20260519_160143/task_result.yaml
moe/routing,hip2hip/vllm-v2-cursor/hip_grouped_topk,1.2302,True,True,7,0.007884,0.006397,AgentKernelArena/old_results/workspace_gpt54_hip2hip_vllm_v2_cursor_MI300_geak_v3/run_20260512_031134/hip2hip_vllm-v2-cursor_hip_grouped_topk_20260512_031134/task_result.yaml
moe/routing,campaign20/baseline/moe_gemm_fp8_blockscale,1.1995,True,True,9,9.426877,4.790980,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0621_rerun_MI300_geak_v3/run_20260621_041627/campaign20_baseline_moe_gemm_fp8_blockscale_20260621_041627/task_result.yaml
