gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,2048,7168,ck,0,2,9.3501,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,3.14,1571.24,0.002552
gfx950,256,2,2048,7168,ck,0,3,9.4188,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,6.23,1560.98,0.003287
gfx950,256,4,2048,7168,ck,0,2,9.3893,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,12.51,1568.28,0.002453
gfx950,256,8,2048,7168,ck,0,2,9.4415,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,24.88,1564.39,0.002444
gfx950,256,16,2048,7168,ck,0,3,9.4137,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,49.9,1578.58,0.003404
gfx950,256,32,2048,7168,ck,0,3,9.4364,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,99.56,1593.87,0.003379
gfx950,256,64,2048,7168,ck,0,2,10.3914,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,180.83,1482.08,0.00247
gfx950,256,128,2048,7168,ck,0,1,15.7219,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,239.04,1025.44,0.001652
gfx950,256,256,2048,7168,ck,0,0,21.4473,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,350.45,818.92,8e-06
gfx950,256,512,2048,7168,ck,0,0,24.2758,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,619.23,842.29,9e-06
gfx950,256,1024,2048,7168,ck,0,0,32.3476,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,929.43,810.4,9e-06
gfx950,256,2048,2048,7168,ck,0,0,45.5146,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1321.1,829.38,8e-06
gfx950,256,4096,2048,7168,cktile,0,0,77.2972,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1555.8,786.8,8e-06
gfx950,256,8192,2048,7168,cktile,0,0,155.4597,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1547.14,687.99,8e-06
gfx950,256,1,768,7168,ck,0,2,9.4087,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,1.17,586.03,0.002447
gfx950,256,2,768,7168,ck,0,2,9.4024,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,2.34,587.34,0.002446
gfx950,256,4,768,7168,ck,0,2,9.4348,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,4.67,587.17,0.002625
gfx950,256,8,768,7168,ck,0,3,9.4628,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,9.31,589.11,0.003317
gfx950,256,16,768,7168,ck,0,3,9.4595,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,18.62,596.68,0.003361
gfx950,256,32,768,7168,ck,0,2,9.5187,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,37.01,607.6,0.00246
gfx950,256,64,768,7168,ck,0,2,9.5656,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,73.66,633.74,0.002475
gfx950,256,128,768,7168,ck,0,3,9.5592,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,147.43,692.43,0.003356
gfx950,256,256,768,7168,ck,0,2,13.2681,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,212.43,582.85,0.002473
gfx950,256,512,768,7168,ck,0,1,18.4999,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,304.71,538.46,0.001658
gfx950,256,1024,768,7168,ck,0,0,24.1215,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,467.4,597.72,8e-06
gfx950,256,2048,768,7168,ck,0,0,31.1683,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,723.45,748.54,9e-06
gfx950,256,4096,768,7168,ck,0,0,42.2634,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1067.05,973.81,8e-06
gfx950,256,8192,768,7168,ck,0,0,73.1639,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1232.77,1049.81,8e-06
gfx950,256,1,7168,384,cktile,0,0,5.671,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_3,0.97,487.96,7e-06
gfx950,256,2,7168,384,cktile,0,0,5.6622,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_4,1.94,491.32,7e-06
gfx950,256,4,7168,384,cktile,0,0,5.6714,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_4,3.88,495.71,7e-06
gfx950,256,8,7168,384,cktile,0,0,5.6989,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_4,7.73,503.66,8e-06
gfx950,256,16,7168,384,cktile,0,0,5.6598,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_4,15.56,527.94,7e-06
gfx950,256,32,7168,384,cktile,0,0,5.6414,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_4,31.23,571.41,7e-06
gfx950,256,64,7168,384,cktile,0,0,5.7063,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_4,61.74,647.46,7e-06
gfx950,256,128,7168,384,cktile,0,0,5.7441,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_4,122.67,807.21,7e-06
gfx950,256,256,7168,384,ck,0,0,6.6634,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,211.49,978.6,7e-06
gfx950,256,512,7168,384,ck,0,0,8.4297,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,334.36,1220.58,7e-06
gfx950,256,1024,7168,384,ck,0,0,13.2603,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,425.12,1344.3,7e-06
gfx950,256,2048,7168,384,ck,0,0,21.8253,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,516.57,1507.38,7e-06
gfx950,256,4096,7168,384,ck,0,0,37.7203,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,597.78,1671.4,7e-06
gfx950,256,8192,7168,384,ck,0,0,70.3094,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,641.41,1754.23,7e-06
gfx950,256,1,7168,7168,ck,0,2,11.2661,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,9.12,4562.52,0.00251
gfx950,256,2,7168,7168,ck,0,2,11.5015,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,17.87,4471.0,0.002471
gfx950,256,4,7168,7168,ck,0,2,11.4389,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,35.93,4499.24,0.002471
gfx950,256,8,7168,7168,ck,0,2,11.1582,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,73.68,4620.11,0.002485
gfx950,256,16,7168,7168,ck,0,2,11.9081,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,138.07,4343.63,0.002449
gfx950,256,32,7168,7168,ck,0,3,15.3715,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,213.92,3387.33,0.003376
