
tiny_n_gemm  N=144 K=7168  (shipped limit m<=16)
    m  torch us   tiny us  speedup  split_n  max|err|
    8     17.40     16.48   1.056x        1  0.00e+00
   16     17.94     16.14   1.112x        1  0.00e+00
   24     17.68     17.36   1.018x        1  9.77e-04
   32     17.40     19.40   0.897x        1  4.88e-04
   48     17.38     23.00   0.756x        1  0.00e+00
   63     17.40     27.28   0.638x        1  0.00e+00
   64     17.32     27.44   0.631x        1  1.95e-03
   96     17.40     36.92   0.471x        1  1.95e-03
  128     17.46     50.64   0.345x        1  3.91e-03

tiny_k_gemm  N=1536 K=128  (shipped limit m<=12)
    m  torch us   tiny us  speedup  split_n  max|err|
    8     14.28     13.98   1.021x        6  1.53e-05
   16     14.08     14.12   0.997x        6  3.91e-03
   24     14.06     14.16   0.993x        6  6.10e-05
   32     14.02     14.44   0.971x        6  1.53e-05
   48     14.30     16.32   0.876x        6  1.56e-02
   63     14.06     17.84   0.788x        6  9.77e-04
   64     14.24     18.06   0.788x        6  3.91e-03
   96     14.26     21.80   0.654x        6  2.44e-04
  128     14.30     25.12   0.569x        6  9.77e-04
