M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
2,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
4,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
8,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
16,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
1,144,7168,False,torch.bfloat16,torch.bfloat16,False,False
2,144,7168,False,torch.bfloat16,torch.bfloat16,False,False
4,144,7168,False,torch.bfloat16,torch.bfloat16,False,False
8,144,7168,False,torch.bfloat16,torch.bfloat16,False,False
16,144,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,144,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,144,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,144,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,144,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,144,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,144,7168,False,torch.bfloat16,torch.bfloat16,False,False
