kernel                                                                                ms   calls      %
mfma_moe1_silu_mul_afp8_wfp4_fp8_t32x128x256_pm1_fp8q_sort_async_gui_situv2_sb      4.46      92  12.32
_ZN5aiter26cross_device_reduce_2stageIDF16bLi8ELb0EEEvPNS_8RankDataES2_NS_11Ra      3.35     187   9.26
mfma_moe2_afp8_wfp4_bf16_cshuffle_t32x256x128_vscale_fix3_fp4opt_v1_pm1             3.04      92   8.39
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT160x64x128_MI16x16x1_SN_LDSB1_A      2.84      92   7.86
_fwd_grouped_kernel_stage1                                                          2.41      24   6.66
void (anonymous namespace)::kda_packed_decode_kernel<8, false>((anonymous name      2.14      69   5.93
_Z32gemm_a16w16_flatmm_splitk_kernelI32opus_flatmm_splitk_traits_gfx950ILi256E      1.56      69   4.32
hgemm_bf16_32x64x256x3_SPK1_W2x1x2_BLDS1_TN_AS1_0                                   1.49      92   4.13
void aiter::grouped_topk_kernel<c10::BFloat16, float __vector(4), 1, true, tru      1.11      92   3.06
_ZN5aiter30fused_mx_quant_moe_sort_kernelIDF16bDB8_Li256ELi16EEEvPT0_PhPKT_PKi      0.85      92   2.36
void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kern      0.84     194   2.31
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x1024_MI16x16x1_SN_LDSB1_A      0.82      69   2.28
_combine_kernel                                                                     0.82     186   2.26
hgemm_bf16_32x64x128x4_SPK1_W2x2x1_BLDS1_TN_AS1_0                                   0.80      93   2.20
_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi32ELb0ELb0ELb1ELi1EEEvPT      0.79     187   2.18
_score_kernel                                                                       0.78     186   2.17
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x32x256_MI16x16x1_SN_LDSB0_AF      0.78      92   2.17
void aiter::opus_moe_sorting_entry<aiter::MoeSortingMultiPhaseKernel_P23<aiter      0.55      92   1.53
void sglang::add3_kernel<false, true>(sglang::Add3Params)                           0.41      92   1.14
void (anonymous namespace)::situ_and_mul_kernel<__hip_bfloat16, true, false>((      0.41      93   1.12
void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<      0.40      86   1.12
__amd_rocclr_copyBuffer                                                             0.39      92   1.09
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x64_MI16x16x1_SN_LDSB0_AFC      0.39      69   1.08
_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi16ELb0ELb0ELb1ELi1EEEvPT      0.38      92   1.06
void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16_copy_ke      0.38      92   1.04
void aiter::opus_moe_sorting_entry<aiter::MoeSortingMultiPhaseKernel_P0_v2<ait      0.38      92   1.04
hgemm_bf16_64x64x64x5_SPK7_W2x2x1_BLDS1_TN_AS1_0                                    0.37      24   1.04
_Z20splitk_reduce_kernelILi16ELi64EDF16bLb0EDF16bLb0EEvPK21opus_splitk_ws_hand      0.31      70   0.87
_causal_conv1d_update_kernel                                                        0.31      69   0.85
void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anony      0.30      48   0.83
hgemm_bf16_32x64x128x4_SPK4_W1x4x1_BLDS1_TN_AS1_0                                   0.29      24   0.81
layer_norm_gated_fwd_kernel                                                         0.28      69   0.78
void at::native::vectorized_elementwise_kernel<8, at::native::AUnaryFunctor<c1      0.22      49   0.60
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT128x64x128_MI16x16x1_SN_LDSB1_A      0.21      24   0.57
hgemm_bf16_16x64x128x4_SPK1_W1x2x1_BLDS1_TN_AS1_0                                   0.16      24   0.45
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x32x64_MI16x16x1_SN_LDSB0_AFC      0.15      24   0.43
void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel      0.13      24   0.37
_fwd_kernel_stage2                                                                  0.13      24   0.35
_ZN5aiter23fused_qk_rmsnorm_kernelIDF16bLi256ELi8ELb1ELi1EEEvPT_S2_PKS1_S4_S4_      0.10      24   0.27
void (anonymous namespace)::mla_output_gate_kernel<256, false>((anonymous name      0.10      24   0.27

total GPU time in window: 36.18 ms
