kernel                                                                                ms   calls      %
mfma_moe1_silu_mul_afp8_wfp4_fp8_t32x128x256_pm1_fp8q_sort_async_gui_situv2_sb      4.47      92  12.11
_ZN5aiter26cross_device_reduce_2stageIDF16bLi8ELb0EEEvPNS_8RankDataES2_NS_11Ra      3.18     187   8.63
mfma_moe2_afp8_wfp4_bf16_cshuffle_t32x256x128_vscale_fix3_fp4opt_v1_pm1             3.06      92   8.29
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT160x64x128_MI16x16x1_SN_LDSB1_A      2.85      92   7.72
_fwd_grouped_kernel_stage1                                                          2.42      24   6.57
void (anonymous namespace)::kda_packed_decode_kernel<8, false>((anonymous name      2.13      69   5.79
_score_kernel                                                                       1.54     186   4.18
_Z32gemm_a16w16_flatmm_splitk_kernelI32opus_flatmm_splitk_traits_gfx950ILi256E      1.53      69   4.15
hgemm_bf16_32x64x256x3_SPK1_W2x1x2_BLDS1_TN_AS1_0                                   1.50      92   4.07
void aiter::grouped_topk_kernel<c10::BFloat16, float __vector(4), 1, true, tru      1.11      92   3.01
void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kern      0.86     194   2.34
_ZN5aiter30fused_mx_quant_moe_sort_kernelIDF16bDB8_Li256ELi16EEEvPT0_PhPKT_PKi      0.86      92   2.33
_combine_kernel                                                                     0.85     186   2.30
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x1024_MI16x16x1_SN_LDSB1_A      0.81      69   2.21
_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi32ELb0ELb0ELb1ELi1EEEvPT      0.81     187   2.19
hgemm_bf16_32x64x128x4_SPK1_W2x2x1_BLDS1_TN_AS1_0                                   0.79      93   2.15
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x32x256_MI16x16x1_SN_LDSB0_AF      0.77      92   2.10
void aiter::opus_moe_sorting_entry<aiter::MoeSortingMultiPhaseKernel_P23<aiter      0.56      92   1.52
void (anonymous namespace)::situ_and_mul_kernel<__hip_bfloat16, true, false>((      0.40      93   1.10
__amd_rocclr_copyBuffer                                                             0.40      92   1.08
_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi16ELb0ELb0ELb1ELi1EEEvPT      0.40      92   1.08
void sglang::add3_kernel<false, true>(sglang::Add3Params)                           0.40      92   1.08
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x64_MI16x16x1_SN_LDSB0_AFC      0.39      69   1.06
void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16_copy_ke      0.38      92   1.02
void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<      0.38      86   1.02
hgemm_bf16_64x64x64x5_SPK7_W2x2x1_BLDS1_TN_AS1_0                                    0.38      24   1.02
void aiter::opus_moe_sorting_entry<aiter::MoeSortingMultiPhaseKernel_P0_v2<ait      0.37      92   1.01
_Z20splitk_reduce_kernelILi16ELi64EDF16bLb0EDF16bLb0EEvPK21opus_splitk_ws_hand      0.32      70   0.87
_causal_conv1d_update_kernel                                                        0.32      69   0.86
void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anony      0.30      48   0.83
hgemm_bf16_32x64x128x4_SPK4_W1x4x1_BLDS1_TN_AS1_0                                   0.29      24   0.79
layer_norm_gated_fwd_kernel                                                         0.29      69   0.78
void at::native::vectorized_elementwise_kernel<8, at::native::AUnaryFunctor<c1      0.22      49   0.60
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT128x64x128_MI16x16x1_SN_LDSB1_A      0.21      24   0.56
hgemm_bf16_16x64x128x4_SPK1_W1x2x1_BLDS1_TN_AS1_0                                   0.16      24   0.44
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x32x64_MI16x16x1_SN_LDSB0_AFC      0.15      24   0.42
void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel      0.13      24   0.36
_fwd_kernel_stage2                                                                  0.12      24   0.33
void (anonymous namespace)::mla_output_gate_kernel<256, false>((anonymous name      0.10      24   0.27
_ZN5aiter23fused_qk_rmsnorm_kernelIDF16bLi256ELi8ELb1ELi1EEEvPT_S2_PKS1_S4_S4_      0.10      24   0.26

total GPU time in window: 36.86 ms
