gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,64,5120,5120,ck,0,0,44.714,a8w8_blockscale_bpreshuffle_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,75.04,608.25,0.0
gfx950,256,64,5120,5120,cktile,0,0,22.6368,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,148.23,1201.47,0.0
gfx950,256,64,5120,5120,asm,0,1,20.4373,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,164.18,1330.77,0.0
gfx950,256,64,5120,5120,ck,1,0,27.9677,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,119.98,972.46,0.0
gfx950,256,64,5120,5120,cktile,1,0,22.6471,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,148.16,1200.92,0.0
gfx950,256,64,5120,5120,asm,1,1,21.0511,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,159.4,1291.97,0.0
gfx950,256,64,5120,5120,ck,2,0,22.7699,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,147.36,1194.45,0.0
gfx950,256,64,5120,5120,cktile,2,0,24.1771,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,138.79,1124.93,0.0
gfx950,256,64,5120,5120,asm,2,1,23.5321,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,142.59,1155.76,0.0
gfx950,256,64,5120,5120,ck,3,0,28.5251,a8w8_blockscale_bpreshuffle_1x128x128_256x16x256x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,117.63,953.46,0.0
gfx950,256,64,5120,5120,cktile,3,0,24.4706,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_2,137.12,1111.43,0.0
gfx950,256,64,5120,5120,asm,3,1,23.8881,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,140.47,1138.54,0.0
gfx950,256,64,5120,5120,ck,4,0,19.2769,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,174.07,1410.88,0.0
gfx950,256,64,5120,5120,cktile,4,0,48.5584,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x128_intrawave_0x1x0_1,69.1,560.1,0.0
gfx950,256,64,5120,5120,asm,4,1,25.5474,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,131.34,1064.59,0.0
gfx950,256,64,5120,5120,ck,5,0,17.9055,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,187.4,1518.94,0.0
gfx950,256,64,5120,5120,cktile,5,0,48.4016,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x128_intrawave_0x1x0_2,69.33,561.91,0.0
gfx950,256,64,5120,5120,asm,5,1,29.1983,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,114.92,931.47,0.0
gfx950,256,64,5120,5120,ck,6,0,15.7784,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,212.66,1723.71,0.0
gfx950,256,64,5120,5120,cktile,6,0,35.5629,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_1,94.35,764.77,0.0
gfx950,256,64,5120,5120,ck,7,0,16.3342,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,205.42,1665.06,0.0
gfx950,256,64,5120,5120,cktile,7,0,35.9534,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_2,93.33,756.46,0.0
gfx950,256,64,5120,5120,ck,8,0,32.0208,a8w8_blockscale_bpreshuffle_1x128x128_256x32x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,104.79,849.37,0.0
gfx950,256,64,5120,5120,cktile,8,0,78.7375,a8w8_blockscale_cktile_128x128x128_1x4x1_16x16x128_intrawave_0x1x0_1,42.62,345.42,0.0
gfx950,256,64,5120,5120,ck,9,0,26.5737,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,126.27,1023.47,0.0
gfx950,256,64,5120,5120,cktile,9,0,78.9187,a8w8_blockscale_cktile_128x128x128_1x4x1_16x16x128_intrawave_0x1x0_1,42.52,344.63,0.0
gfx950,256,64,5120,5120,ck,10,0,19.0929,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,175.74,1424.48,0.0
gfx950,256,64,5120,5120,cktile,10,0,87.4318,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,38.38,311.07,0.0
gfx950,256,64,5120,5120,ck,11,0,19.1045,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,175.64,1423.61,0.0
gfx950,256,64,5120,5120,cktile,11,0,49.2999,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,68.06,551.67,0.0
gfx950,256,64,5120,5120,ck,12,0,13.9587,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,240.38,1948.42,0.0
