gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,64,5120,5120,ck,0,0,44.6906,a8w8_blockscale_bpreshuffle_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,75.08,608.57,0.0
gfx950,256,64,5120,5120,cktile,0,0,22.4969,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,149.15,1208.94,0.0
gfx950,256,64,5120,5120,asm,0,1,20.4383,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,164.17,1330.71,0.0
gfx950,256,64,5120,5120,ck,1,0,27.8215,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,120.61,977.57,0.0
gfx950,256,64,5120,5120,cktile,1,0,22.4888,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,149.21,1209.38,0.0
gfx950,256,64,5120,5120,asm,1,2,16.9085,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,198.45,1608.51,0.0
gfx950,256,64,5120,5120,ck,2,0,22.7806,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,147.29,1193.89,0.0
gfx950,256,64,5120,5120,cktile,2,0,24.0203,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,139.69,1132.27,0.0
gfx950,256,64,5120,5120,asm,2,3,14.8582,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,225.83,1830.47,0.0
gfx950,256,64,5120,5120,ck,3,0,28.4292,a8w8_blockscale_bpreshuffle_1x128x128_256x16x256x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,118.03,956.67,0.0
gfx950,256,64,5120,5120,cktile,3,0,24.296,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_2,138.11,1119.42,0.0
gfx950,256,64,5120,5120,asm,3,4,17.263,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,194.37,1575.48,0.0001
gfx950,256,64,5120,5120,ck,4,0,19.2635,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,174.19,1411.86,0.0
gfx950,256,64,5120,5120,cktile,4,0,48.4389,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x128_intrawave_0x1x0_1,69.27,561.48,0.0
gfx950,256,64,5120,5120,asm,4,5,16.7951,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,199.79,1619.37,0.0001
gfx950,256,64,5120,5120,ck,5,0,17.91,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,187.35,1518.56,0.0
gfx950,256,64,5120,5120,cktile,5,0,48.3153,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x128_intrawave_0x1x0_2,69.45,562.92,0.0
gfx950,256,64,5120,5120,asm,5,6,16.3205,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,205.6,1666.46,0.0003
gfx950,256,64,5120,5120,ck,6,0,15.6814,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,213.98,1734.38,0.0
gfx950,256,64,5120,5120,cktile,6,0,35.5691,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_1,94.34,764.64,0.0
gfx950,256,64,5120,5120,asm,6,7,18.829,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,178.21,1444.44,0.0005
