gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,8192,5120,5120,ck,0,0,261.397,a8w8_blockscale_bpreshuffle_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,1643.08,581.66,0.0
gfx950,256,8192,5120,5120,cktile,0,0,646.4246,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,664.42,235.21,0.0
gfx950,256,8192,5120,5120,asm,0,1,676.1657,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,635.19,224.86,0.0
gfx950,256,8192,5120,5120,ck,1,0,292.2436,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,1469.65,520.26,0.0
gfx950,256,8192,5120,5120,cktile,1,0,655.4041,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,655.32,231.98,0.0
gfx950,256,8192,5120,5120,asm,1,1,482.8451,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,889.51,314.89,0.0
gfx950,256,8192,5120,5120,ck,2,0,367.7901,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,1167.78,413.4,0.0
gfx950,256,8192,5120,5120,cktile,2,0,653.7134,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,657.01,232.58,0.0
gfx950,256,8192,5120,5120,asm,2,1,397.7871,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,1079.72,382.22,0.0
gfx950,256,8192,5120,5120,ck,3,0,650.336,a8w8_blockscale_bpreshuffle_1x128x128_256x16x256x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,660.42,233.79,0.0
gfx950,256,8192,5120,5120,cktile,3,0,647.9138,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_2,662.89,234.67,0.0
gfx950,256,8192,5120,5120,asm,3,1,357.1009,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,1202.73,425.77,0.0
gfx950,256,8192,5120,5120,ck,4,0,675.7725,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,635.56,224.99,0.0
gfx950,256,8192,5120,5120,cktile,4,0,470.8568,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x128_intrawave_0x1x0_1,912.16,322.91,0.0
gfx950,256,8192,5120,5120,asm,4,1,342.6628,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,1253.41,443.71,0.0
gfx950,256,8192,5120,5120,ck,5,0,774.5219,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,554.53,196.31,0.0
gfx950,256,8192,5120,5120,cktile,5,0,445.0978,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x128_intrawave_0x1x0_2,964.95,341.6,0.0
gfx950,256,8192,5120,5120,asm,5,1,320.6534,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1339.44,474.17,0.0
gfx950,256,8192,5120,5120,ck,6,0,629.7478,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,682.01,241.44,0.0
