gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,64,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,71.06569999999999,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,40.5473,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_persist_sbm32,0.2%,111.613,0,0,0,36.08,14437.38
gfx950,256,64,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,68.1962,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,0.9%,40.5473,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_persist_sbm32,0.2%,108.7435,0,0,0,37.03,14818.35
gfx950,256,64,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,70.1549,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w3_fp4,0.9%,44.1343,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2_sbm64,0.1%,114.2892,0,0,0,35.23,14099.31
gfx950,256,64,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,73.3877,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2,0.0%,44.1343,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2_sbm64,0.1%,117.522,0,0,0,34.26,13711.47
gfx950,256,64,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,80.0863,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3_fp4,0.9%,56.7114,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_sbm128,0.0%,136.7977,0,0,0,29.43,11779.43
gfx950,256,64,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,83.4212,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w4,0.0%,56.7114,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_sbm128,0.0%,140.1326,0,0,0,28.73,11499.1
gfx950,256,16384,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,325.6246,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_xcd4,0.0%,650.9087,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_bnt2_xcd4,0.0%,976.5333,0,0,0,1055.56,1855.48
gfx950,256,16384,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,332.1911,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w4_bnt0_xcd4,0.0%,655.8212,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_bnt2_xcd4_sbm128,0.0%,988.0123,0,0,0,1043.3,1833.92
gfx950,256,16384,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,284.6983,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_xcd4_fp4,0.8%,650.9087,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_bnt2_xcd4,0.0%,935.607,0,0,0,1101.74,1936.65
gfx950,256,16384,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,329.6539,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_bnt0_xcd4_fp4,0.8%,655.8212,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_bnt2_xcd4_sbm128,0.0%,985.4751,0,0,0,1045.98,1838.65
gfx950,256,16384,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,359.5249,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_bnt0_xcd4_fp4,0.8%,729.8952,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce_xcd4,0.0%,1089.4201,0,0,0,946.18,1663.21
gfx950,256,16384,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,411.39910000000003,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_bnt0_xcd4,0.0%,729.8952,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce_xcd4,0.0%,1141.2943,0,0,0,903.18,1587.62
