M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
16384,5120,4096,False,torch.bfloat16,torch.bfloat16,False,False
16384,4608,4096,False,torch.bfloat16,torch.bfloat16,False,False
16384,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
16384,4096,256,False,torch.bfloat16,torch.bfloat16,False,False
16384,512,4096,False,torch.bfloat16,torch.bfloat16,False,False
16384,32,4096,False,torch.bfloat16,torch.bfloat16,False,False
8192,5120,4096,False,torch.bfloat16,torch.bfloat16,False,False
8192,4608,4096,False,torch.bfloat16,torch.bfloat16,False,False
8192,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
8192,4096,256,False,torch.bfloat16,torch.bfloat16,False,False
8192,512,4096,False,torch.bfloat16,torch.bfloat16,False,False
8192,32,4096,False,torch.bfloat16,torch.bfloat16,False,False
